text,label
Your recent payment for order #58291 was successful. Thank you for your purchase.,legitimate
"This is urgent. I need you to process a wire transfer of $45,000 today before the bank closes. Reply for account details.",phishing
URGENT: Your account will be permanently deleted in 24 hours unless you verify your details now: http://secure-verify-login.com/reset,phishing
"This is urgent. I need you to process a wire transfer of $3,400 today before the bank closes. Reply for account details.",phishing
Action required: Your mailbox storage is full. Click http://bit.ly/3xVerify to upgrade and avoid message loss.,phishing
URGENT: Your account will be permanently deleted in 24 hours unless you verify your details now: http://accounts-update-portal.net/login,phishing
Please review the attached document and sign it using the secure portal here: http://paypal-security-check.info,phishing
Please review the attached document and sign it using the secure portal here: http://amaz0n-support.com/verify,phishing
Your order #77420 has shipped and is expected to arrive by the 15th.,legitimate
"Hi, can we reschedule our onboarding meeting to 4:00 PM on next Monday? Let me know if that works for you.",legitimate
Your package could not be delivered. Click http://amaz0n-support.com/verify to reschedule delivery and pay a small customs fee.,phishing
"Hi, sharing the notes from our client review discussion. Please add anything I missed.",legitimate
Security Alert: We noticed a login from a new device. Verify it's you: http://192.168.44.12/login.php,phishing
"Hi, could you please share the updated presentation when you get a chance? No rush.",legitimate
"Hi everyone, welcome to the team! Looking forward to working with you all.",legitimate
"Hi, could you please share the updated presentation when you get a chance? No rush.",legitimate
"This is urgent. I need you to process a wire transfer of $12,750 today before the bank closes. Reply for account details.",phishing
Congratulations! You have won a a brand new iPhone 16 prize. Claim your reward within 24 hours: http://192.168.44.12/login.php,phishing
"Hi, following up on our conversation last week regarding the presentation. Any updates?",legitimate
Warning: suspicious activity detected. Verify your identity within 1 hour to prevent permanent account closure: http://paypal-security-check.info,phishing
"Hi, following up on our conversation last week regarding the proposal. Any updates?",legitimate
Attached is the minutes of today's onboarding meeting for your reference.,legitimate
"I need this handled quietly and quickly - transfer $3,400 to the account I'll send shortly. Do not discuss with anyone in the office. - the Managing Director",phishing
Your payment could not be processed. Update your billing information immediately at http://amaz0n-support.com/verify to avoid service interruption.,phishing
"Kindly update the vendor payment account to the new details before releasing this week's payment of $8,900.",phishing
Please review the attached document and sign it using the secure portal here: http://microsft-office365-login.com,phishing
Thanks for your email. I'll review the document and get back to you by next Monday.,legitimate
"I need this handled quietly and quickly - transfer $45,000 to the account I'll send shortly. Do not discuss with anyone in the office. - John (CEO)",phishing
Please review the attached contract draft and share your comments by end of week.,legitimate
Your recent payment for order #58291 was successful. Thank you for your purchase.,legitimate
Reminder: the quarterly report is due by Friday. Let me know if you need an extension.,legitimate
"From the desk of John (CEO): I'm travelling and my usual assistant is unavailable. Please action this payment of $120,000 immediately.",phishing
Your order #58291 has shipped and is expected to arrive by end of this week.,legitimate
"Hi, can we reschedule our client review meeting to 10:00 AM on the 15th? Let me know if that works for you.",legitimate
Your order #99581 has shipped and is expected to arrive by Friday.,legitimate
Your Netflix password expires today. Update it now to avoid losing access: http://amaz0n-support.com/verify,phishing
URGENT: Your account will be permanently deleted in 24 hours unless you verify your details now: http://microsft-office365-login.com,phishing
Thank you for registering for our webinar on budget review. Here are the joining details for 4:00 PM.,legitimate
You are our lucky winner of this month's Amazon giveaway. Click http://accounts-update-portal.net/login to claim a brand new iPhone 16 now.,phishing
Thank you for registering for our webinar on project status. Here are the joining details for 10:00 AM.,legitimate
"Please find attached the revised invoice. Kindly process payment of $45,000 to the new account before end of day.",phishing
Final notice: your a $500 gift card reward will expire soon. Confirm your details at http://192.168.44.12/login.php.,phishing
Congratulations on completing the training program! Your certificate is attached.,legitimate
Security Alert: We noticed a login from a new device. Verify it's you: http://paypal-security-check.info,phishing
Final notice: your a $500 gift card reward will expire soon. Confirm your details at http://secure-verify-login.com/reset.,phishing
Please find the monthly newsletter attached. Feedback is welcome as always.,legitimate
Your recent payment for order #99581 was successful. Thank you for your purchase.,legitimate
"Congratulations! You have won a $1,000,000 prize. Claim your reward within 24 hours: http://bit.ly/3xVerify",phishing
"Hi, sharing the notes from our onboarding discussion. Please add anything I missed.",legitimate
Warning: suspicious activity detected. Verify your identity within 1 hour to prevent permanent account closure: http://microsft-office365-login.com,phishing
Unusual sign-in activity detected on your Amazon account. Confirm your password now at http://secure-verify-login.com/reset or your account will be locked.,phishing
"I need this handled quietly and quickly - transfer $12,750 to the account I'll send shortly. Do not discuss with anyone in the office. - David (CFO)",phishing
"Hello, just confirming our call is scheduled for 4:00 PM on Friday. Let me know if that still works.",legitimate
Action required: Your mailbox storage is full. Click http://bit.ly/3xVerify to upgrade and avoid message loss.,phishing
This is a reminder that your subscription renews on Friday. No action is needed if you wish to continue.,legitimate
"Hi, this is the Managing Director, I'm in a meeting and need you to purchase gift cards worth $3,400 urgently. Reply ASAP, can't talk right now.",phishing
Your Google Workspace account has been suspended. Click here to verify your identity immediately: http://secure-verify-login.com/reset,phishing
Your order #77420 has shipped and is expected to arrive by next Monday.,legitimate
Please review the attached report and share your comments by end of week.,legitimate
"Hi everyone, welcome to the team! Looking forward to working with you all.",legitimate
Unusual sign-in activity detected on your your company email account. Confirm your password now at http://192.168.44.12/login.php or your account will be locked.,phishing
"Hi, the contract draft you requested is attached. Let me know if you need anything else.",legitimate
You are our lucky winner of this month's Apple ID giveaway. Click http://amaz0n-support.com/verify to claim a free vacation package now.,phishing
Attached is the minutes of today's project status meeting for your reference.,legitimate
Your Amazon password expires today. Update it now to avoid losing access: http://192.168.44.12/login.php,phishing
"Hi team, please find attached the agenda for tomorrow's team sync meeting at 2:30 PM.",legitimate
"Hi, could you please share the updated proposal when you get a chance? No rush.",legitimate
Unusual sign-in activity detected on your Bank Secure Portal account. Confirm your password now at http://microsft-office365-login.com or your account will be locked.,phishing
Please review the attached document and sign it using the secure portal here: http://amaz0n-support.com/verify,phishing
"Hi team, please find attached the agenda for tomorrow's project status meeting at 10:00 AM.",legitimate
Your payment could not be processed. Update your billing information immediately at http://microsft-office365-login.com to avoid service interruption.,phishing
"Hi, following up on our conversation last week regarding the presentation. Any updates?",legitimate
"Hi everyone, welcome to the team! Looking forward to working with you all.",legitimate
"Congratulations! You have won a $1,000,000 prize. Claim your reward within 24 hours: http://microsft-office365-login.com",phishing
Warning: suspicious activity detected. Verify your identity within 1 hour to prevent permanent account closure: http://paypal-security-check.info,phishing
Your payment could not be processed. Update your billing information immediately at http://bit.ly/3xVerify to avoid service interruption.,phishing
Security Alert: We noticed a login from a new device. Verify it's you: http://amaz0n-support.com/verify,phishing
"Final notice: your $1,000,000 reward will expire soon. Confirm your details at http://amaz0n-support.com/verify.",phishing
"Hi, could you please share the updated budget sheet when you get a chance? No rush.",legitimate
Congratulations! You have won a a free vacation package prize. Claim your reward within 24 hours: http://accounts-update-portal.net/login,phishing
"Hi team, please find attached the agenda for tomorrow's budget review meeting at 4:00 PM.",legitimate
Your recent payment for order #77420 was successful. Thank you for your purchase.,legitimate
"Hi, sharing the notes from our project status discussion. Please add anything I missed.",legitimate
"Hello, just confirming our call is scheduled for 2:30 PM on the 15th. Let me know if that still works.",legitimate
Your payment could not be processed. Update your billing information immediately at http://paypal-security-check.info to avoid service interruption.,phishing
Attached is the minutes of today's project status meeting for your reference.,legitimate
Immediate action required. Failure to respond within 12 hours will result in account suspension. Click http://192.168.44.12/login.php,phishing
Unusual sign-in activity detected on your Google Workspace account. Confirm your password now at http://paypal-security-check.info or your account will be locked.,phishing
"This is urgent. I need you to process a wire transfer of $3,400 today before the bank closes. Reply for account details.",phishing
Your payment could not be processed. Update your billing information immediately at http://paypal-security-check.info to avoid service interruption.,phishing
"Hi, the proposal you requested is attached. Let me know if you need anything else.",legitimate
"Kindly update the vendor payment account to the new details before releasing this week's payment of $12,750.",phishing
"Hi, sharing the notes from our budget review discussion. Please add anything I missed.",legitimate
"Hi, sharing the notes from our budget review discussion. Please add anything I missed.",legitimate
Congratulations! You have won a a brand new iPhone 16 prize. Claim your reward within 24 hours: http://192.168.44.12/login.php,phishing
Your Microsoft 365 account has been suspended. Click here to verify your identity immediately: http://192.168.44.12/login.php,phishing
Thank you for registering for our webinar on team sync. Here are the joining details for 2:30 PM.,legitimate
Attached is the minutes of today's budget review meeting for your reference.,legitimate
"Hi everyone, welcome to the team! Looking forward to working with you all.",legitimate
"Hi team, please find attached the agenda for tomorrow's project status meeting at 2:30 PM.",legitimate
"Hi team, please find attached the agenda for tomorrow's client review meeting at 10:00 AM.",legitimate
Action required: Your mailbox storage is full. Click http://microsft-office365-login.com to upgrade and avoid message loss.,phishing
Immediate action required. Failure to respond within 12 hours will result in account suspension. Click http://192.168.44.12/login.php,phishing
Immediate action required. Failure to respond within 12 hours will result in account suspension. Click http://microsft-office365-login.com,phishing
"You are our lucky winner of this month's Apple ID giveaway. Click http://bit.ly/3xVerify to claim $1,000,000 now.",phishing
Your Netflix password expires today. Update it now to avoid losing access: http://microsft-office365-login.com,phishing
Final notice: your a free vacation package reward will expire soon. Confirm your details at http://192.168.44.12/login.php.,phishing
A voicemail message is waiting for you. Listen now: http://192.168.44.12/login.php,phishing
Attached is the minutes of today's team sync meeting for your reference.,legitimate
URGENT: Your account will be permanently deleted in 24 hours unless you verify your details now: http://microsft-office365-login.com,phishing
"This is urgent. I need you to process a wire transfer of $3,400 today before the bank closes. Reply for account details.",phishing
Thank you for registering for our webinar on team sync. Here are the joining details for 4:00 PM.,legitimate
Your recent payment for order #77420 was successful. Thank you for your purchase.,legitimate
"Hi, can we reschedule our team sync meeting to 2:30 PM on next Monday? Let me know if that works for you.",legitimate
"Hi, please process the attached invoice for $8,900 urgently. Payment details have changed, see updated bank info attached.",phishing
Your Bank Secure Portal password expires today. Update it now to avoid losing access: http://secure-verify-login.com/reset,phishing
"Hi, the report you requested is attached. Let me know if you need anything else.",legitimate
Your Microsoft 365 account has been suspended. Click here to verify your identity immediately: http://secure-verify-login.com/reset,phishing
Your Apple ID account has been suspended. Click here to verify your identity immediately: http://secure-verify-login.com/reset,phishing
Please find the monthly newsletter attached. Feedback is welcome as always.,legitimate
Unusual sign-in activity detected on your Bank Secure Portal account. Confirm your password now at http://accounts-update-portal.net/login or your account will be locked.,phishing
Your package could not be delivered. Click http://secure-verify-login.com/reset to reschedule delivery and pay a small customs fee.,phishing
"From the desk of the Managing Director: I'm travelling and my usual assistant is unavailable. Please action this payment of $12,750 immediately.",phishing
Your Bank Secure Portal account has been suspended. Click here to verify your identity immediately: http://accounts-update-portal.net/login,phishing
"Hi, could you please share the updated budget sheet when you get a chance? No rush.",legitimate
Your order #10234 has shipped and is expected to arrive by end of this week.,legitimate
"Hi, can we reschedule our onboarding meeting to 4:00 PM on next Monday? Let me know if that works for you.",legitimate
Congratulations on completing the training program! Your certificate is attached.,legitimate
Immediate action required. Failure to respond within 12 hours will result in account suspension. Click http://secure-verify-login.com/reset,phishing
This is a reminder that your subscription renews on next Monday. No action is needed if you wish to continue.,legitimate
Your order #77420 has shipped and is expected to arrive by next Monday.,legitimate
Final notice: your a free vacation package reward will expire soon. Confirm your details at http://paypal-security-check.info.,phishing
"Hi, could you please share the updated proposal when you get a chance? No rush.",legitimate
Your package could not be delivered. Click http://192.168.44.12/login.php to reschedule delivery and pay a small customs fee.,phishing
Attached is the minutes of today's budget review meeting for your reference.,legitimate
"From the desk of David (CFO): I'm travelling and my usual assistant is unavailable. Please action this payment of $12,750 immediately.",phishing
Action required: Your mailbox storage is full. Click http://bit.ly/3xVerify to upgrade and avoid message loss.,phishing
A voicemail message is waiting for you. Listen now: http://192.168.44.12/login.php,phishing
Thank you for registering for our webinar on client review. Here are the joining details for 11:15 AM.,legitimate
"Hi, please process the attached invoice for $120,000 urgently. Payment details have changed, see updated bank info attached.",phishing
